latitude,longitude,elev,ilplat,ilplng,iso
-32.6533,-70.0125,22841,36.2717,71.8100,16517.5820
63.0692,-151.0067,20310,42.2875,81.0425,7450.2139
-3.0767,37.3542,19341,35.7483,70.4792,5509.6938
-4.0783,137.1583,16024,29.0383,102.1692,5235.0547
-78.5350,-85.5708,16466,-34.7617,-69.9733,4928.8433
-17.6233,-149.4767,7352,-39.1567,175.6350,4128.1509
19.8208,-155.4683,13796,41.4058,-122.1975,3947.0107
68.9183,-29.8992,12118,46.6350,8.1250,3254.8259
-43.5950,170.1425,12218,-71.7708,168.6408,3138.8052
-29.4683,29.2692,11424,-3.0642,35.8192,3003.2168
-27.0858,-109.3800,1663,-33.7467,-80.8217,2831.3220
45.8325,6.8650,15781,43.3408,42.4000,2812.0046
-21.0992,55.4800,10075,-29.3492,29.4900,2766.2993
56.0558,160.6417,15593,62.9408,-151.4008,2750.3025
19.0308,-97.2700,18491,10.8350,-73.6917,2690.2654
-37.1117,-12.2892,6759,-54.6425,-36.1375,2662.0200
36.5783,-118.2925,14498,19.1183,-99.7675,2649.4404
6.0750,116.5583,13435,-4.0067,136.7850,2509.5471
43.3542,42.4358,18510,39.0108,71.4600,2469.3989
-20.4358,-41.7975,9505,-19.4292,-64.1650,2342.5498
4.2183,9.1733,13255,0.3758,29.8258,2335.7078
-13.6183,-172.4867,6096,-15.3625,166.7550,2245.1973
-9.1208,-77.6050,22205,-27.1075,-68.5417,2207.6431
-54.4500,-36.5242,9619,-69.7808,-64.4633,2205.7302
10.1708,77.0633,8842,28.3725,82.3833,2090.2644
31.0600,-7.9150,13671,45.8200,6.8633,2078.1956
35.3608,138.7275,12388,24.3892,121.2325,2076.7305
-53.1050,73.5133,9006,-69.7000,57.3308,2026.0586
19.7925,18.5467,11302,4.2300,9.1892,1998.7716
35.7650,-82.2650,6684,37.1283,-103.5867,1913.4861
-1.6967,101.2642,12484,6.0775,116.5475,1903.8995
18.7675,145.6675,3182,34.7858,138.8767,1897.6323
-36.4558,148.2633,7310,-44.5892,168.0075,1894.2555
-54.4050,3.3475,2559,-40.3350,-9.9275,1851.1594
65.0350,60.1142,6217,68.1467,18.6258,1835.4202
23.4708,120.9583,12966,26.1575,103.2375,1814.6335
-46.9042,37.7083,4035,-32.7542,27.2425,1804.8685
-7.9517,-14.3425,2818,8.2633,-13.1225,1798.1643
-12.4625,15.1742,8596,-5.1667,29.0750,1728.0491
14.9500,-24.3425,9281,28.2567,-16.6742,1672.4716
4.6842,-160.3625,101,18.9208,-155.6750,1655.2502
-8.4100,116.4575,12224,6.0650,116.5567,1600.6749
-84.3325,166.4308,14856,-78.6358,-85.2292,1584.9860
9.2283,-11.1142,6381,14.9117,-24.3550,1571.9733
61.6367,8.3125,8100,49.1625,20.0000,1568.3644
-23.4008,132.3950,5023,-17.3992,145.8158,1549.2814
13.2367,38.3683,14928,-0.1250,37.3200,1482.2209
